logFC	logCPM	LR	PValue	FDR
MAGED2	-1.91385823584763	9.53035927491561	253.583233718596	4.2981757930147e-57	1.80828718199017e-55
USP6NL	1.02990079026473	5.31190053723012	253.008978586815	5.73417020751232e-57	2.39931393628464e-55
PREX1	-2.35639483957169	7.81445341344952	252.667458972857	6.80646564219277e-57	2.83259345833741e-55
XPO5	1.12721227617963	6.52857009045676	252.632076267069	6.92843406234181e-57	2.86785020677256e-55
BCL11A	2.99926390164089	3.98994165402539	252.182082139725	8.68428755606824e-57	3.57541871091815e-55
PVR	1.25356400415855	5.18638620912361	251.708496949311	1.10148074625912e-56	4.51079801353668e-55
ZDHHC18	0.864998210424464	5.44672654025926	251.533082679377	1.20286762573615e-56	4.89993537065747e-55
NCS1	1.38568081178323	5.04690941633438	251.365184278098	1.30864055245525e-56	5.30274927018578e-55
ATP8B1	-1.56706754634802	6.78503132419131	250.413678976976	2.1098628503001e-56	8.50462517511021e-55
SUOX	-1.06450858720124	5.37449034215935	249.672531399458	3.06077193646628e-56	1.22733766348197e-54
NDRG1	1.99588243316837	8.50631446445838	249.117623128406	4.04396257841931e-56	1.61318486483162e-54
CLDN10	3.59676091661082	1.88182500056383	248.633058457533	5.1576096263732e-56	2.0468266244045e-54
KIFC1	1.9211141670902	5.15112893819984	248.600193873122	5.2434049517261e-56	2.07020383196611e-54
LAMP3	2.4659478777847	4.31712469902197	248.446390934739	5.66427863144471e-56	2.22496332568841e-54
PHGDH	2.27413739866929	6.79965614494889	247.100407570675	1.11324681836439e-55	4.3507041901459e-54
STK38	0.978499100358461	6.35995395838462	246.910396006104	1.22466601598006e-55	4.76197154395477e-54
CDCA5	1.94103067609174	4.77762910552028	246.718204857599	1.34871190405448e-55	5.21795625593739e-54
A2ML1	3.59080245592266	4.46958036276942	246.639886827994	1.40279474009028e-55	5.40005835197753e-54
CCNB2	2.039127601387	4.72403246555892	245.829633872235	2.10691576307906e-55	8.07022112435108e-54
NUDT5	1.18166801286424	5.82224054021693	245.782208687853	2.15767973161275e-55	8.22375062063691e-54
RGMA	2.22462503376922	4.81488679733864	245.306161628635	2.74016628852846e-55	1.03923843622565e-53
RNF103	-0.86871567882563	6.42224321279089	245.042367694132	3.12817336840409e-55	1.18057876290897e-53
C6orf211	-2.19238350444545	6.75798959909842	244.311586442238	4.51462111998018e-55	1.69551551232817e-53
TMBIM4	-1.1554232192064	6.75053275696307	243.80809659886	5.81295701131457e-55	2.17252213738402e-53
GREB1	-2.94829164291474	7.06152568425651	243.28251311398	7.56817138868305e-55	2.81484789958796e-53
NCAPG	1.76854697866585	4.60027076756513	243.084188488087	8.36050031833704e-55	3.09459095917677e-53
APBB2	-1.48231791740922	7.1258069801132	242.607932805685	1.06187230703727e-54	3.91165305831575e-53
SMO	1.59821971236546	5.16736486719765	242.596957088459	1.06773968911299e-54	3.91453707927662e-53
RUNDC1	-1.09608231205111	5.98068251286784	242.483231536668	1.130476587067e-54	4.1249001155587e-53
LMNB2	1.21335652380445	6.21803534924504	242.292720523743	1.2439410662553e-54	4.51750107032999e-53
TP53BP2	1.27699784300685	6.46628180640025	242.258271050631	1.26564247152158e-54	4.57473304612424e-53
KRT86	3.05833797066939	3.06154535946742	242.02547122906	1.42255792300368e-54	5.11788478934829e-53
LYPD5	1.97005822272095	2.91860366024362	241.779731110949	1.60935017766425e-54	5.76297070597074e-53
RRP1	1.06528792258447	5.15770052898113	241.10821873216	2.25458518175967e-54	8.03613486776281e-53
CEP55	2.08264633346364	4.70042298177411	240.913723216116	2.4858483199391e-54	8.81960655078853e-53
SOX8	3.71616187164351	3.61019400029817	239.709601867279	4.55014709072114e-54	1.60695332346156e-52
HDAC2	1.05276993467237	7.25932411897258	239.461366131876	5.15409344864096e-54	1.81193449594003e-52
MMP7	3.1874707902542	7.42333916907073	239.231227256326	5.78540004718461e-54	2.0246270437852e-52
MRPL2	1.01794758767115	4.89898699806775	239.166344508218	5.97696789838151e-54	2.082202527133e-52
PSME4	1.10769285527385	7.51703853074016	238.940673013946	6.69403805492157e-54	2.32150445877663e-52
GFRA1	-4.25755941342298	8.65479846363761	237.74537172575	1.21990105623117e-53	4.21166736857569e-52
APOBEC3B	2.53253124025211	4.06018629627018	237.518521070359	1.36706822029931e-53	4.69868670896624e-52
SLC44A4	-3.52079251142676	6.94293402407347	237.344349859816	1.49200047859195e-53	5.10529408207974e-52
MSL3	0.802363952372235	5.1599964271793	237.324925515728	1.50662278333709e-53	5.13251717208507e-52
CDKAL1	1.18460050475605	4.94722616430251	236.508924531944	2.269544060056e-53	7.69745362042781e-52
EVL	-2.03289597666929	8.02119360955931	236.478133418086	2.30490410759691e-53	7.78309505455641e-52
PADI2	2.49329568773935	7.13910552924612	236.444643351306	2.34398936708008e-53	7.88051272364609e-52
RFWD3	0.988410576541667	5.77752837181899	235.813071594534	3.21866431846752e-53	1.07741289512528e-51
TPX2	2.04074390021696	6.44731295070932	235.183215843674	4.41593903082652e-53	1.47178851075036e-51
UCHL1	2.61106357745153	4.56427996226279	235.050832927467	4.71944468299196e-53	1.56616399199806e-51
FAF1	0.742764577028456	6.00354378893443	234.557942939316	6.04467038429853e-53	1.99733550595341e-51
CDC25B	1.50607568459029	5.94410807039212	233.657376814226	9.50071758119882e-53	3.12589848964315e-51
EML4	0.912081626857005	6.42377314971212	233.638986484415	9.58885532431922e-53	3.14147221880569e-51
NARF	0.96476281755939	5.42753604839611	232.900806457169	1.38912687590094e-52	4.5317321260853e-51
TTYH1	3.23813186683891	4.57783332113989	232.759277983023	1.49143838669254e-52	4.84497221061006e-51
RAD51AP1	1.88238379930405	3.8822889175829	232.629901646133	1.59154435831349e-52	5.14844538430906e-51
PSMB2	0.849848301654257	6.80986573639476	232.371827476588	1.8117482185529e-52	5.8362550354137e-51
SUSD3	-3.20445191872684	5.74738810500902	232.35345857293	1.82853644640644e-52	5.86579254203466e-51
CXXC5	-1.80115037138217	5.51245668412467	232.086701062932	2.09062730313025e-52	6.67873012730281e-51
CHAF1B	1.37188802885572	4.44525941688774	231.91627410333	2.27741685588416e-52	7.24538527828601e-51
CEBPG	0.876384868455247	6.16451187008453	231.813351074945	2.39821192566663e-52	7.59828543856272e-51
RSU1	1.08631714449807	7.01867658930128	231.714571100079	2.52016586880547e-52	7.95194959997267e-51
CLSTN2	-3.47354332489085	6.16081334380982	231.670245777379	2.57688738005726e-52	8.09773711798402e-51
LSM2	0.878651731369972	5.55177216740427	231.205153620064	3.25477970903578e-52	1.01612827187292e-50
FOXA1	-3.51475588707898	8.20366092446383	231.20199159916	3.25995172298496e-52	1.01612827187292e-50
INPP4B	-2.35225435005589	5.33873152083263	231.026225919393	3.560753792729e-52	1.1054130423476e-50
ATP7B	-2.20502761232662	4.82213121047028	230.985003673767	3.6352280707135e-52	1.124000840017e-50
PRR15	-3.4549865769755	4.87790767318323	230.743761159688	4.10338053416124e-52	1.26367706930029e-50
RBM38	1.45029294606134	5.32831133172683	230.377547499249	4.93180684688955e-52	1.51274824359373e-50
HDGF	0.987802206686585	8.91964862420559	230.31158356943	5.09790338624798e-52	1.55749040360013e-50
SPG11	-0.946296134107919	6.72531126713772	229.800491520612	6.58949507027736e-52	2.00523804529903e-50
MYBL2	2.502019358609	5.82215809493181	229.530389089977	7.54670438121108e-52	2.28748334767497e-50
RHOB	-1.66180979276071	8.91860316054366	228.968118179693	1.00087756813907e-51	3.02186525376577e-50
EPHB3	1.92841627439119	6.95398326259589	228.507729216225	1.26120727908874e-51	3.7929823600407e-50
ERGIC1	-1.18394169770032	8.45567004768531	227.820489184605	1.78101341676269e-51	5.33541723566381e-50
REEP5	-1.06467423887315	8.24602555808298	227.545915669562	2.04432381897228e-51	6.10048414041379e-50
TMEM25	-1.61813100354668	5.8154322522503	227.519553294665	2.07156778357645e-51	6.15791519913324e-50
CHRD	-2.6818338578742	4.41361011578066	227.414062644776	2.18426833629664e-51	6.46795458505686e-50
POLR2F	1.17200605349116	5.0986175331678	227.337433562026	2.26996068803207e-51	6.69594917132524e-50
TMEM201	0.975341717328353	4.47499461621472	227.297315024921	2.31615681179758e-51	6.80614171527847e-50
PDIA6	1.03140598393376	8.45343229951027	227.003126995129	2.68490477855134e-51	7.85972695439801e-50
SCUBE2	-4.2768368342693	8.6295323432083	226.968491438093	2.73201294031764e-51	7.96733622253998e-50
YES1	0.993836595775144	6.89476735009904	226.934653221305	2.778834772193e-51	8.07330147589205e-50
KLHDC3	0.974783511267512	6.95460975658763	226.779787148419	3.00357460404287e-51	8.69342890094964e-50
UGCG	-2.19095258681484	5.57992913495783	226.462612096392	3.52219504470281e-51	1.01563219659801e-49
BCAM	-1.99165844599215	8.39869049004972	225.446692279122	5.86658615241469e-51	1.68533010400898e-49
PDCD5	1.10693326020822	5.75039303372506	225.261473961883	6.43846030641502e-51	1.84273999624867e-49
CSRP2	1.68356780763792	4.42662914355236	225.170812922569	6.7383795622722e-51	1.92143645370125e-49
BYSL	1.10743521679617	4.95843452280236	225.071283467554	7.08374936233555e-51	2.01246444061334e-49
CHST2	1.89459961179962	3.73472938938724	225.060923166653	7.12070192072106e-51	2.01552515028057e-49
